,text,date
118,"We love our church parents, grandparents, and godparents. They show Jesus among us and example Him for our youth. Thank you!!! #parent #grandparent #godparent #example #model #faith #Jesus #church #respect #schenectady #hnjschenectady https://t.co/CLgldy8adW",2019-06-05 21:39:02+00:00
119,"Work inbound time to get this money 😎
➖➖➖➖➖➖➖➖➖➖➖
-
-
-
-
-
-
-
-
-
-
#selfie #selfies #me #money #sexy #picoftheday #schenectady #PuertoRican #motivation #model #moneymoves #risingstar #nito #nitolr #beautiful… https://t.co/xDmm64ZYSI",2019-04-26 19:21:27+00:00
120,"Back to the college days
#throwback
➖➖➖➖➖➖➖➖➖➖
-
-
-
-
-
-
-
-
-
~Tags 📮~
#selfie #selfies #me #money #sexy #picoftheday #schenectady #motivation #model #moneymoves #risingstar #nito… https://t.co/h0fil9BKz2",2019-04-02 05:21:27+00:00
121,"Always keep your eyes 👀 on the prize 🏆
➖➖➖➖➖➖➖➖➖➖➖➖
~Tags 📮~
#selfie #selfies #me #money #sexy #picoftheday #work #schenectady #motivation #model #moneymoves #risingstar #nito #nitolr… https://t.co/EeMnZ7HgZn",2019-01-05 20:17:00+00:00
122,#selfie #Albany #me #money #sexy #picoftheday #work #newyork #motivation #model #moneymoves #risingstar #nito #nitolr #schenectadyny #dedication #upstateny #style #Modeling #igers #photoshoot #excellence #hometown #fashion #schenectady #comedy #comedian #photography #bestoftheday,2018-12-12 21:05:04+00:00
123,I prolly post one picture a year if u wanna see me watch my story lol #ForeverBroke #Fatality #model #4eyez #airmax #Escobar #prince #518 #schenectady #gamer… https://t.co/8cjAzWqXRL,2018-08-13 21:21:11+00:00
124,Grace = God’s free and unconditional love. It is His gift and our call to live the same way. #grace #love #model #church #schenectady #hnjschenectady https://t.co/Ez3MMgemwK,2018-07-17 16:41:32+00:00
125,#Albany #troy #schenectady #newyork #dancers #models #modelswanted #nyc #Brooklyn,2020-09-25 15:02:25+00:00
126,"We’re currently looking for 2 dancers for a choreography shoot in Albany,NY.

Tap in or tag people who’d be interested 🙂 thank you!

#NewYork #nyc #albany #troy #schenectady #newyork #harlem #manhattan #dancer #photographer #photoshoot #models #modelswanted",2020-09-23 18:51:22+00:00
127,"@SkyNews Aspiring dancers TAP IN to be part of a choreography shoot! 

*
#NY, #NYC, #Albany, #Schenectady, #Mechanicville, #Troy, #WestSanLake, #Hudson #dancers #photoshoot #Choreography #models #modelswanted #shooting #kingston #brooklyn",2020-09-19 10:49:18+00:00
128,"@TelemundoNews Aspiring dancers TAP IN to be part of a choreography shoot! 

*
#NY, #NYC, #Albany, #Schenectady, #Mechanicville, #Troy, #WestSanLake, #Hudson #dancers #photoshoot #Choreography #models #modelswanted #shooting #kingston #brooklyn",2020-09-19 10:48:58+00:00
129,"@WorkYonkersNY Aspiring dancers TAP IN to be part of a choreography shoot! 

*
#NY, #NYC, #Albany, #Schenectady, #Mechanicville, #Troy, #WestSanLake, #Hudson #dancers #photoshoot #Choreography #models #modelswanted #shooting #kingston #brooklyn",2020-09-19 10:48:32+00:00
